Município,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,Product
Caarapó,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24189,0,0,0,Wood
Cabreúva,65,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,1228,0,0,0,48,Wood
Cachoeira,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,2,0,0,0,0,0,0,0,0,Wood
Cachoeira Paulista,8,28,37,0,0,82,252,368,17,0,0,0,0,0,25,73,27,148,2,73,0,0,0,0,0,Wood
Cacoal,0,0,0,0,0,0,0,0,0,0,0,0,0,237594,489000,328284,76500,304800,307531,0,165780,188000,294690,311780,11500,Wood
Caieiras,765,265,575,19062,17619,9235,0,37,0,0,0,0,0,0,0,0,0,0,193422,5111,240572,5738301,9743405,8012999,1763921,Wood
Cairu,0,0,0,0,0,0,0,0,0,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Cajamar,272240,342595,519627,365897,117605,137040,415804,540171,228697,162384,88454,189602,213887,154472,1780,10371,85,70,19899,63048,36689,33984,63852,12823,26675,Wood
Caldas Novas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,Wood
Calçoene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367785,323797,24850,0,0,0,0,Wood
Camanducaia,0,0,0,13001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3052314,3463684,3819110,3014744,100000,0,0,Wood
Camaçari,0,0,0,0,0,0,0,0,0,0,0,83438,96322,53100,62252,85808,28143,9695,53016,35321,1,0,0,0,0,Wood
Cambuí,0,0,0,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Cametá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,Wood
Campanha,0,0,0,0,0,0,0,0,6,321,171,212,109,159,437,318,833,902,462,115,298,0,0,0,0,Wood
Campinas,146053,51642,4912,17657,13869,112326,233743,150256,303580,507752,425190,805087,810301,459637,404112,334250,11499,8906,154290,127535,864341,196145,4016,39030,115038,Wood
Campo Belo,0,0,0,0,0,0,0,0,0,0,0,57670,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Campo Florido,0,0,0,94980,25000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Campo Grande,499640,23299,357579,536844,618897,316942,271802,818416,1274061,912229,2357040,2411269,6261246,16622052,19576766,18194646,33949606,43568033,46831136,33086013,29629508,24542962,13374598,1226687,773864,Wood
Campo Limpo Paulista,0,550,317,0,0,44,58,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,Wood
Campo Novo de Rondônia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,82600,613656,480479,297000,0,0,0,0,0,Wood
Campo Novo do Parecis,0,0,0,0,0,0,0,0,0,0,138135,386551,281414,235960,48930,173160,1344568,1243605,300482,0,0,0,0,0,0,Wood
Canarana,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Canavieiras,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,38954,0,33967,6340,42070,20650,18010,42000,40106,860,0,Wood
Canaã dos Carajás,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Candeias,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,204790,22360,0,0,0,0,0,0,Wood
Candeias do Jamari,0,0,0,0,0,0,0,0,0,0,384154,195317,24000,0,533435,165383,206042,886718,770447,295416,108000,18500,0,0,0,Wood
Cantá,0,0,0,0,0,0,0,0,53438,478027,1737493,3985110,6247107,5346856,1334728,928160,1505348,1403286,809853,1674368,28000,0,0,0,0,Wood
Capanema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418587,886659,254903,0,0,0,0,0,0,0,Wood
Capelinha,24151,36930,216317,0,15780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Capitão Poço,1806204,2006000,3014992,1073160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Capivari,0,0,0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Capixaba,0,0,0,0,0,0,0,0,0,0,21000,68100,520900,1469648,1202381,3909031,2264782,4981535,3248466,2300543,563311,0,0,0,0,Wood
Caracaraí,0,0,252000,0,0,0,0,28000,2371400,372200,0,178616,293600,545400,112000,0,196000,0,0,0,0,0,0,0,0,Wood
Caraguatatuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2816,0,0,0,0,Wood
